Year,CFC11NH,CFC11SH,CFC12NH,CFC12SH,CFC113NH,CFC113SH,CCl4NH,CCl4SH,SF6NH,SF6SH,N2ONH,N2OSH
,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppt,ppb,ppb
1765.5,0,0,0,0,0,0,0,0,0,0,270.47,270.47
1766.5,0,0,0,0,0,0,0,0,0,0,270.49,270.49
1767.5,0,0,0,0,0,0,0,0,0,0,270.5,270.5
1768.5,0,0,0,0,0,0,0,0,0,0,270.52,270.52
1769.5,0,0,0,0,0,0,0,0,0,0,270.53,270.53
1770.5,0,0,0,0,0,0,0,0,0,0,270.55,270.55
1771.5,0,0,0,0,0,0,0,0,0,0,270.56,270.56
1772.5,0,0,0,0,0,0,0,0,0,0,270.58,270.58
1773.5,0,0,0,0,0,0,0,0,0,0,270.59,270.59
1774.5,0,0,0,0,0,0,0,0,0,0,270.61,270.61
1775.5,0,0,0,0,0,0,0,0,0,0,270.62,270.62
1776.5,0,0,0,0,0,0,0,0,0,0,270.64,270.64
1777.5,0,0,0,0,0,0,0,0,0,0,270.66,270.66
1778.5,0,0,0,0,0,0,0,0,0,0,270.67,270.67
1779.5,0,0,0,0,0,0,0,0,0,0,270.69,270.69
1780.5,0,0,0,0,0,0,0,0,0,0,270.71,270.71
1781.5,0,0,0,0,0,0,0,0,0,0,270.73,270.73
1782.5,0,0,0,0,0,0,0,0,0,0,270.74,270.74
1783.5,0,0,0,0,0,0,0,0,0,0,270.76,270.76
1784.5,0,0,0,0,0,0,0,0,0,0,270.78,270.78
1785.5,0,0,0,0,0,0,0,0,0,0,270.8,270.8
1786.5,0,0,0,0,0,0,0,0,0,0,270.82,270.82
1787.5,0,0,0,0,0,0,0,0,0,0,270.84,270.84
1788.5,0,0,0,0,0,0,0,0,0,0,270.86,270.86
1789.5,0,0,0,0,0,0,0,0,0,0,270.88,270.88
1790.5,0,0,0,0,0,0,0,0,0,0,270.9,270.9
1791.5,0,0,0,0,0,0,0,0,0,0,270.92,270.92
1792.5,0,0,0,0,0,0,0,0,0,0,270.95,270.95
1793.5,0,0,0,0,0,0,0,0,0,0,270.97,270.97
1794.5,0,0,0,0,0,0,0,0,0,0,270.99,270.99
1795.5,0,0,0,0,0,0,0,0,0,0,271.02,271.02
1796.5,0,0,0,0,0,0,0,0,0,0,271.04,271.04
1797.5,0,0,0,0,0,0,0,0,0,0,271.06,271.06
1798.5,0,0,0,0,0,0,0,0,0,0,271.09,271.09
1799.5,0,0,0,0,0,0,0,0,0,0,271.11,271.11
1800.5,0,0,0,0,0,0,0,0,0,0,271.14,271.14
1801.5,0,0,0,0,0,0,0,0,0,0,271.16,271.16
1802.5,0,0,0,0,0,0,0,0,0,0,271.19,271.19
1803.5,0,0,0,0,0,0,0,0,0,0,271.21,271.21
1804.5,0,0,0,0,0,0,0,0,0,0,271.24,271.24
1805.5,0,0,0,0,0,0,0,0,0,0,271.27,271.27
1806.5,0,0,0,0,0,0,0,0,0,0,271.3,271.3
1807.5,0,0,0,0,0,0,0,0,0,0,271.33,271.33
1808.5,0,0,0,0,0,0,0,0,0,0,271.36,271.36
1809.5,0,0,0,0,0,0,0,0,0,0,271.39,271.39
1810.5,0,0,0,0,0,0,0,0,0,0,271.42,271.42
1811.5,0,0,0,0,0,0,0,0,0,0,271.45,271.45
1812.5,0,0,0,0,0,0,0,0,0,0,271.48,271.48
1813.5,0,0,0,0,0,0,0,0,0,0,271.51,271.51
1814.5,0,0,0,0,0,0,0,0,0,0,271.54,271.54
1815.5,0,0,0,0,0,0,0,0,0,0,271.57,271.57
1816.5,0,0,0,0,0,0,0,0,0,0,271.61,271.61
1817.5,0,0,0,0,0,0,0,0,0,0,271.64,271.64
1818.5,0,0,0,0,0,0,0,0,0,0,271.67,271.67
1819.5,0,0,0,0,0,0,0,0,0,0,271.71,271.71
1820.5,0,0,0,0,0,0,0,0,0,0,271.75,271.75
1821.5,0,0,0,0,0,0,0,0,0,0,271.78,271.78
1822.5,0,0,0,0,0,0,0,0,0,0,271.82,271.82
1823.5,0,0,0,0,0,0,0,0,0,0,271.86,271.86
1824.5,0,0,0,0,0,0,0,0,0,0,271.89,271.89
1825.5,0,0,0,0,0,0,0,0,0,0,271.93,271.93
1826.5,0,0,0,0,0,0,0,0,0,0,271.97,271.97
1827.5,0,0,0,0,0,0,0,0,0,0,272.01,272.01
1828.5,0,0,0,0,0,0,0,0,0,0,272.05,272.05
1829.5,0,0,0,0,0,0,0,0,0,0,272.1,272.1
1830.5,0,0,0,0,0,0,0,0,0,0,272.14,272.14
1831.5,0,0,0,0,0,0,0,0,0,0,272.18,272.18
1832.5,0,0,0,0,0,0,0,0,0,0,272.23,272.23
1833.5,0,0,0,0,0,0,0,0,0,0,272.27,272.27
1834.5,0,0,0,0,0,0,0,0,0,0,272.32,272.32
1835.5,0,0,0,0,0,0,0,0,0,0,272.36,272.36
1836.5,0,0,0,0,0,0,0,0,0,0,272.41,272.41
1837.5,0,0,0,0,0,0,0,0,0,0,272.46,272.46
1838.5,0,0,0,0,0,0,0,0,0,0,272.51,272.51
1839.5,0,0,0,0,0,0,0,0,0,0,272.56,272.56
1840.5,0,0,0,0,0,0,0,0,0,0,272.61,272.61
1841.5,0,0,0,0,0,0,0,0,0,0,272.66,272.66
1842.5,0,0,0,0,0,0,0,0,0,0,272.71,272.71
1843.5,0,0,0,0,0,0,0,0,0,0,272.77,272.77
1844.5,0,0,0,0,0,0,0,0,0,0,272.82,272.82
1845.5,0,0,0,0,0,0,0,0,0,0,272.88,272.88
1846.5,0,0,0,0,0,0,0,0,0,0,272.93,272.93
1847.5,0,0,0,0,0,0,0,0,0,0,272.99,272.99
1848.5,0,0,0,0,0,0,0,0,0,0,273.05,273.05
1849.5,0,0,0,0,0,0,0,0,0,0,273.11,273.11
1850.5,0,0,0,0,0,0,0,0,0,0,273.17,273.17
1851.5,0,0,0,0,0,0,0,0,0,0,273.23,273.23
1852.5,0,0,0,0,0,0,0,0,0,0,273.29,273.29
1853.5,0,0,0,0,0,0,0,0,0,0,273.35,273.35
1854.5,0,0,0,0,0,0,0,0,0,0,273.42,273.42
1855.5,0,0,0,0,0,0,0,0,0,0,273.48,273.48
1856.5,0,0,0,0,0,0,0,0,0,0,273.55,273.55
1857.5,0,0,0,0,0,0,0,0,0,0,273.62,273.61
1858.5,0,0,0,0,0,0,0,0,0,0,273.69,273.68
1859.5,0,0,0,0,0,0,0,0,0,0,273.76,273.75
1860.5,0,0,0,0,0,0,0,0,0,0,273.83,273.82
1861.5,0,0,0,0,0,0,0,0,0,0,273.91,273.89
1862.5,0,0,0,0,0,0,0,0,0,0,273.98,273.97
1863.5,0,0,0,0,0,0,0,0,0,0,274.06,274.04
1864.5,0,0,0,0,0,0,0,0,0,0,274.14,274.12
1865.5,0,0,0,0,0,0,0,0,0,0,274.22,274.19
1866.5,0,0,0,0,0,0,0,0,0,0,274.3,274.27
1867.5,0,0,0,0,0,0,0,0,0,0,274.38,274.35
1868.5,0,0,0,0,0,0,0,0,0,0,274.46,274.43
1869.5,0,0,0,0,0,0,0,0,0,0,274.55,274.51
1870.5,0,0,0,0,0,0,0,0,0,0,274.63,274.6
1871.5,0,0,0,0,0,0,0,0,0,0,274.72,274.68
1872.5,0,0,0,0,0,0,0,0,0,0,274.81,274.77
1873.5,0,0,0,0,0,0,0,0,0,0,274.9,274.86
1874.5,0,0,0,0,0,0,0,0,0,0,274.99,274.95
1875.5,0,0,0,0,0,0,0,0,0,0,275.08,275.04
1876.5,0,0,0,0,0,0,0,0,0,0,275.18,275.13
1877.5,0,0,0,0,0,0,0,0,0,0,275.27,275.23
1878.5,0,0,0,0,0,0,0,0,0,0,275.37,275.32
1879.5,0,0,0,0,0,0,0,0,0,0,275.47,275.42
1880.5,0,0,0,0,0,0,0,0,0,0,275.58,275.52
1881.5,0,0,0,0,0,0,0,0,0,0,275.68,275.62
1882.5,0,0,0,0,0,0,0,0,0,0,275.79,275.72
1883.5,0,0,0,0,0,0,0,0,0,0,275.89,275.83
1884.5,0,0,0,0,0,0,0,0,0,0,276,275.93
1885.5,0,0,0,0,0,0,0,0,0,0,276.11,276.04
1886.5,0,0,0,0,0,0,0,0,0,0,276.23,276.15
1887.5,0,0,0,0,0,0,0,0,0,0,276.34,276.26
1888.5,0,0,0,0,0,0,0,0,0,0,276.46,276.38
1889.5,0,0,0,0,0,0,0,0,0,0,276.58,276.49
1890.5,0,0,0,0,0,0,0,0,0,0,276.7,276.61
1891.5,0,0,0,0,0,0,0,0,0,0,276.82,276.73
1892.5,0,0,0,0,0,0,0,0,0,0,276.95,276.85
1893.5,0,0,0,0,0,0,0,0,0,0,277.07,276.98
1894.5,0,0,0,0,0,0,0,0,0,0,277.2,277.1
1895.5,0,0,0,0,0,0,0,0,0,0,277.33,277.23
1896.5,0,0,0,0,0,0,0,0,0,0,277.47,277.36
1897.5,0,0,0,0,0,0,0,0,0,0,277.6,277.49
1898.5,0,0,0,0,0,0,0,0,0,0,277.74,277.63
1899.5,0,0,0,0,0,0,0,0,0,0,277.88,277.77
1900.5,0,0,0,0,0,0,0,0,0,0,278.03,277.91
1901.5,0,0,0,0,0,0,0,0,0,0,278.17,278.05
1902.5,0,0,0,0,0,0,0,0,0,0,278.32,278.2
1903.5,0,0,0,0,0,0,0,0,0,0,278.47,278.34
1904.5,0,0,0,0,0,0,0,0,0,0,278.62,278.49
1905.5,0,0,0,0,0,0,0,0,0,0,278.78,278.64
1906.5,0,0,0,0,0,0,0,0,0,0,278.94,278.8
