yr,mon,avg_ppt,sd,N,date
1990.0,2.0,480.084,6.829,244.0,1990.1666666666667
1990.0,3.0,484.834,14.844,107.0,1990.25
1990.0,4.0,480.597,7.807,275.0,1990.3333333333333
1990.0,5.0,483.637,7.859,301.0,1990.4166666666667
1990.0,6.0,484.407,9.593,310.0,1990.5
1990.0,7.0,486.829,13.37,494.0,1990.5833333333333
1990.0,8.0,485.704,10.026,316.0,1990.6666666666667
1990.0,9.0,489.186,7.113,367.0,1990.75
1990.0,10.0,490.912,7.05,505.0,1990.8333333333333
1990.0,11.0,489.9,4.794,364.0,1990.9166666666667
1990.0,12.0,493.972,19.057,595.0,1991.0
1991.0,1.0,491.759,8.388,665.0,1991.0833333333333
1991.0,2.0,490.184,6.546,639.0,1991.1666666666667
1991.0,3.0,493.177,5.853,635.0,1991.25
1991.0,4.0,494.643,7.458,633.0,1991.3333333333333
1991.0,5.0,495.31,9.582,551.0,1991.4166666666667
1991.0,6.0,494.784,9.669,492.0,1991.5
1991.0,7.0,496.075,11.003,681.0,1991.5833333333333
1991.0,8.0,495.995,8.01,492.0,1991.6666666666667
1991.0,9.0,499.288,6.0,274.0,1991.75
1991.0,10.0,499.212,5.158,257.0,1991.8333333333333
1991.0,11.0,501.822,6.019,467.0,1991.9166666666667
1991.0,12.0,499.717,5.138,205.0,1992.0
1992.0,1.0,501.243,3.699,174.0,1992.0833333333333
1992.0,2.0,500.723,5.493,363.0,1992.1666666666667
1992.0,3.0,501.673,6.016,283.0,1992.25
1992.0,4.0,502.543,3.768,473.0,1992.3333333333333
1992.0,5.0,504.322,7.467,668.0,1992.4166666666667
1992.0,6.0,506.95,7.655,481.0,1992.5
1992.0,7.0,507.133,7.78,592.0,1992.5833333333333
1992.0,8.0,508.754,5.887,731.0,1992.6666666666667
1992.0,9.0,510.279,5.231,129.0,1992.75
1992.0,10.0,507.567,3.628,119.0,1992.8333333333333
1992.0,11.0,506.624,4.478,581.0,1992.9166666666667
1992.0,12.0,507.37,3.655,628.0,1993.0
1993.0,1.0,507.504,3.73,619.0,1993.0833333333333
1993.0,2.0,508.161,4.097,662.0,1993.1666666666667
1993.0,3.0,507.438,4.234,709.0,1993.25
1993.0,4.0,509.749,3.749,534.0,1993.3333333333333
1993.0,5.0,510.363,4.17,708.0,1993.4166666666667
1993.0,6.0,511.829,7.321,424.0,1993.5
