Site,yr,mon,avg_ppt,date
NWR,1997,4,4.19,1997.3333333333333
NWR,1997,5,4.20,1997.4166666666667
NWR,1997,6,4.15,1997.5
NWR,1997,7,4.10,1997.5833333333333
NWR,1997,8,4.12,1997.6666666666667
NWR,1997,9,4.17,1997.75
NWR,1997,10,4.22,1997.8333333333333
NWR,1997,11,4.26,1997.9166666666667
NWR,1997,12,4.27,1998.0
NWR,1998,1,4.26,1998.0833333333333
NWR,1998,2,4.26,1998.1666666666667
NWR,1998,3,4.30,1998.25
NWR,1998,4,4.33,1998.3333333333333
NWR,1998,5,4.32,1998.4166666666667
NWR,1998,6,4.33,1998.5
NWR,1998,7,4.35,1998.5833333333333
NWR,1998,8,4.37,1998.6666666666667
NWR,1998,9,4.39,1998.75
NWR,1998,10,4.42,1998.8333333333333
NWR,1998,11,4.43,1998.9166666666667
NWR,1998,12,4.44,1999.0
NWR,1999,1,4.46,1999.0833333333333
NWR,1999,2,4.48,1999.1666666666667
NWR,1999,3,4.49,1999.25
NWR,1999,4,4.48,1999.3333333333333
NWR,1999,5,4.49,1999.4166666666667
NWR,1999,6,4.51,1999.5
NWR,1999,7,4.51,1999.5833333333333
NWR,1999,8,4.49,1999.6666666666667
NWR,1999,9,4.52,1999.75
NWR,1999,10,4.58,1999.8333333333333
NWR,1999,11,4.63,1999.9166666666667
NWR,1999,12,4.64,2000.0
NWR,2000,1,4.62,2000.0833333333333
NWR,2000,2,4.63,2000.1666666666667
NWR,2000,3,4.66,2000.25
NWR,2000,4,4.68,2000.3333333333333
NWR,2000,5,4.68,2000.4166666666667
NWR,2000,6,4.68,2000.5
NWR,2000,7,4.70,2000.5833333333333
NWR,2000,8,4.73,2000.6666666666667
NWR,2000,9,4.74,2000.75
NWR,2000,10,4.77,2000.8333333333333
NWR,2000,11,4.80,2000.9166666666667
NWR,2000,12,4.82,2001.0
NWR,2001,1,4.82,2001.0833333333333
NWR,2001,2,4.83,2001.1666666666667
NWR,2001,3,4.84,2001.25
NWR,2001,4,4.86,2001.3333333333333
NWR,2001,5,4.87,2001.4166666666667
NWR,2001,6,4.88,2001.5
NWR,2001,7,4.89,2001.5833333333333
NWR,2001,8,4.91,2001.6666666666667
NWR,2001,9,4.93,2001.75
NWR,2001,10,4.98,2001.8333333333333
NWR,2001,11,5.02,2001.9166666666667
NWR,2001,12,5.03,2002.0
NWR,2002,1,5.03,2002.0833333333333
NWR,2002,2,5.06,2002.1666666666667
NWR,2002,3,5.10,2002.25
NWR,2002,4,5.12,2002.3333333333333
NWR,2002,5,5.10,2002.4166666666667
NWR,2002,6,5.09,2002.5
NWR,2002,7,5.09,2002.5833333333333
NWR,2002,8,5.11,2002.6666666666667
NWR,2002,9,5.14,2002.75
NWR,2002,10,5.19,2002.8333333333333
NWR,2002,11,5.23,2002.9166666666667
NWR,2002,12,5.22,2003.0
NWR,2003,1,5.22,2003.0833333333333
NWR,2003,2,5.26,2003.1666666666667
NWR,2003,3,5.27,2003.25
NWR,2003,4,5.28,2003.3333333333333
NWR,2003,5,5.34,2003.4166666666667
NWR,2003,6,5.39,2003.5
NWR,2003,7,5.40,2003.5833333333333
NWR,2003,8,5.41,2003.6666666666667
NWR,2003,9,5.43,2003.75
NWR,2003,10,5.46,2003.8333333333333
NWR,2003,11,5.49,2003.9166666666667
NWR,2003,12,5.50,2004.0
NWR,2004,1,5.50,2004.0833333333333
NWR,2004,2,5.52,2004.1666666666667
NWR,2004,3,5.54,2004.25
NWR,2004,4,5.55,2004.3333333333333
NWR,2004,5,5.56,2004.4166666666667
NWR,2004,6,5.57,2004.5
NWR,2004,7,5.59,2004.5833333333333
NWR,2004,8,5.62,2004.6666666666667
NWR,2004,9,5.64,2004.75
NWR,2004,10,5.66,2004.8333333333333
NWR,2004,11,5.70,2004.9166666666667
NWR,2004,12,5.71,2005.0
NWR,2005,1,5.72,2005.0833333333333
NWR,2005,2,5.74,2005.1666666666667
NWR,2005,3,5.79,2005.25
NWR,2005,4,5.82,2005.3333333333333
NWR,2005,5,5.85,2005.4166666666667
NWR,2005,6,5.84,2005.5
NWR,2005,7,5.80,2005.5833333333333
NWR,2005,8,5.82,2005.6666666666667
NWR,2005,9,5.86,2005.75
NWR,2005,10,5.87,2005.8333333333333
NWR,2005,11,5.90,2005.9166666666667
NWR,2005,12,5.96,2006.0
NWR,2006,1,5.97,2006.0833333333333
NWR,2006,2,5.97,2006.1666666666667
NWR,2006,3,6.01,2006.25
NWR,2006,4,6.06,2006.3333333333333
NWR,2006,5,6.06,2006.4166666666667
NWR,2006,6,6.06,2006.5
NWR,2006,7,6.06,2006.5833333333333
NWR,2006,8,6.07,2006.6666666666667
NWR,2006,9,6.09,2006.75
NWR,2006,10,6.13,2006.8333333333333
NWR,2006,11,6.16,2006.9166666666667
NWR,2006,12,6.19,2007.0
NWR,2007,1,6.21,2007.0833333333333
