Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
"GNIP","GNIP/M/US/02","PORTLAND (OREGON)","US","7269800","45.6","-122.6","6","Precipitation collectors - unknown","[Partner: USGS Menlo Park]","196301","Water - Precipitation - unspecified (not reported)","1963-01-15","1963-01-01","1963-01-31","","","","","","400","","USGS Reston Stable Isotope Laboratory","58","1.7","5.4"
"GNIP","GNIP/M/US/02","PORTLAND (OREGON)","US","7269800","45.6","-122.6","6","Precipitation collectors - unknown","[Partner: USGS Menlo Park]","196302","Water - Precipitation - unspecified (not reported)","1963-02-15","1963-02-01","1963-02-28","","","","","","795","","USGS Reston Stable Isotope Laboratory","88","8.8","8.6"
"GNIP","GNIP/M/US/02","PORTLAND (OREGON)","US","7269800","45.6","-122.6","6","Precipitation collectors - unknown","[Partner: USGS Menlo Park]","196303","Water - Precipitation - unspecified (not reported)","1963-03-15","1963-03-01","1963-03-31","","","","","","1070","","USGS Reston Stable Isotope Laboratory","119","7.3","8.1"
"GNIP","GNIP/M/US/02","PORTLAND (OREGON)","US","7269800","45.6","-122.6","6","Precipitation collectors - unknown","[Partner: USGS Menlo Park]","196304","Water - Precipitation - unspecified (not reported)","1963-04-15","1963-04-01","1963-04-30","","","","","","1920","","USGS Reston Stable Isotope Laboratory","96","9.2","8.6"
"GNIP","GNIP/M/US/02","PORTLAND (OREGON)","US","7269800","45.6","-122.6","6","Precipitation collectors - unknown","[Partner: USGS Menlo Park]","196305","Water - Precipitation - unspecified (not reported)","1963-05-15","1963-05-01","1963-05-31","","","","","","2340","","USGS Reston Stable Isotope Laboratory","70","13.7","9.7"
"GNIP","GNIP/M/US/02","PORTLAND (OREGON)","US","7269800","45.6","-122.6","6","Precipitation collectors - unknown","[Partner: USGS Menlo Park]","196306","Water - Precipitation - unspecified (not reported)","1963-06-15","1963-06-01","1963-06-30","","","","","","1790","","USGS Reston Stable Isotope Laboratory","43","15.6","11.9"
"GNIP","GNIP/M/US/02","PORTLAND (OREGON)","US","7269800","45.6","-122.6","6","Precipitation collectors - unknown","[Partner: USGS Menlo Park]","196307","Water - Precipitation - unspecified (not reported)","1963-07-15","1963-07-01","1963-07-31","","","","","","3980","","USGS Reston Stable Isotope Laboratory","30","17.3","13.2"
"GNIP","GNIP/M/US/02","PORTLAND (OREGON)","US","7269800","45.6","-122.6","6","Precipitation collectors - unknown","[Partner: USGS Menlo Park]","196308","Water - Precipitation - unspecified (not reported)","1963-08-15","1963-08-01","1963-08-31","","","","","","1960","","USGS Reston Stable Isotope Laboratory","22","19","15.2"
"GNIP","GNIP/M/US/02","PORTLAND (OREGON)","US","7269800","45.6","-122.6","6","Precipitation collectors - unknown","[Partner: USGS Menlo Park]","196309","Water - Precipitation - unspecified (not reported)","1963-09-15","1963-09-01","1963-09-30","","","","","","975","","USGS Reston Stable Isotope Laboratory","19","18.4","15.3"
"GNIP","GNIP/M/US/02","PORTLAND (OREGON)","US","7269800","45.6","-122.6","6","Precipitation collectors - unknown","[Partner: USGS Menlo Park]","196310","Water - Precipitation - unspecified (not reported)","1963-10-15","1963-10-01","1963-10-31","","","","","","610","","USGS Reston Stable Isotope Laboratory","77","12.3","11.6"
