Parameter Category, Parameter,Location, Depth, Timestamp,Value,Unit, Data Source
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/1/14,-5.254, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/2/14,-4.487, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/3/14,-1.83, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/4/14,-8.433, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/5/14,-15.975, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/6/14,-12.133, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/7/14,-7.329, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/8/14,-5.142, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/9/14,-5.942, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/10/14,-8.987, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/11/14,-3.817, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/12/14,-6.287, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/13/14,-8.683, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/14/14,-6.004, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/15/14,-2.733, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/16/14,-3.896, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/17/14,-4.329, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/18/14,-3.208, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/19/14,-3, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/20/14,-2.417, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/21/14,-3.771, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/22/14,-3.85, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/23/14,-6.437, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/24/14,-5.467, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/25/14,-2.3, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/26/14,-2.033, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/27/14,-4.417, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/28/14,-10.322, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/29/14,-4.625, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/30/14,-1.987, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,1/31/14,-4.808, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-snotel_butte, 0 meters,2/1/14,-10.067, degreeCelsius, EastRiver
