Parameter Category, Parameter,Location, Depth, Timestamp,Value,Unit, Data Source
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-09-28, 18.575, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-09-29, 12.228, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-09-30, 11.59, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-01, 10.092, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-02, 10.878, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-03, 9.437, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-04, 2.49, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-05, 4.488, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-06, 3.128, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-07, 3.688, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-08, 6.221, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-09, 5.709, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-10, 7.223, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-11, 6.632, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-12, 7.911, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-13, 8.892, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-14, 8.82, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-15, 10.877, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-16, 10.361, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-17, 12.071, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-18, 7.723, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-19, 5.55, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-20, 2.197, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-21, 4.737, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-22, 6.508, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-23, 7.793, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-24, 8.218, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-25, 7.841, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-26, 5.756, degreeCelsius, EastRiver
Climate - Weather, Air Temperature, ER-Almont, 5 meters,2016-10-27, 7.355, degreeCelsius, EastRiver
