,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,median
m,-149.563051,16.528858,-179.381102,-118.090759,0.259848,0.183753,4049.262609,6509.972628,1.00112,-149.53173168407366
Ae_beta,0.755968,0.054213,0.650017,0.85132,0.001437,0.001016,1303.625664,854.723891,1.001625,0.7547474723215211
F_beta,0.291265,0.047457,0.199246,0.362315,0.001499,0.00106,1321.035764,741.066796,1.0012,0.3021019311534534
E_beta,0.377143,0.168412,0.065896,0.674355,0.002606,0.001843,4026.095751,5192.725037,1.000597,0.37422423924970555
Ae,0.019898,0.007826,0.008319,0.034503,0.000205,0.000151,1303.625664,854.723891,1.001299,0.018375637589282318
F,0.390867,0.075746,0.239781,0.512972,0.00217,0.001535,1321.035764,741.066796,1.001289,0.4019794598710104
E,2974.177443,88.098255,2811.361006,3129.651887,1.36341,0.964144,4026.095751,5192.725037,1.000597,2972.6503748359073
b_beta,0.250185,0.152068,0.013191,0.533479,0.00263,0.00186,3149.583124,4627.374507,1.001217,0.22143395736242594
b,3171.634815,111.009391,2998.62966,3378.439908,1.919705,1.357555,3149.583124,4627.374507,1.001217,3150.646788874571
T,1.325121,0.871764,9.5e-05,2.88464,0.015383,0.010922,3286.41245,5363.430521,1.001139,1.1862972262545448
nu_,0.847197,0.269944,0.197075,1.0,0.00344,0.0025,4041.92099,5313.221077,1.00338,0.9963514714195407
nu,25.568713,7.828367,6.715184,30.0,0.099753,0.072406,4041.92099,5313.221077,1.00338,29.89419267116668
